,close,high,low,open,time,volumefrom,volumeto
0,763.11,765.11,762.88,764.06,1513890240.0,1159.6,887941.48
1,762.93,763.5,762.45,763.11,1513890300.0,425.92,326455.87
2,763.92,764.73,762.65,762.93,1513890360.0,422.47,322759.95
3,766.11,766.15,763.92,763.92,1513890420.0,485.43,369869.83
4,766.56,766.58,764.67,765.86,1513890480.0,539.66,417850.84
5,767.91,767.98,766.11,766.56,1513890540.0,1009.97,773704.29
6,765.96,768.52,765.6,767.91,1513890600.0,785.03,602922.87
7,766.33,767.03,765.72,765.96,1513890660.0,416.78,318640.66
8,768.21,768.67,766.41,766.41,1513890720.0,495.72,377798.29
9,768.25,769.01,767.53,768.2,1513890780.0,426.19,328198.92
10,767.34,768.71,766.97,768.26,1513890840.0,160.31,122635.09
11,767.12,768.09,766.79,767.34,1513890900.0,477.22,368170.17
12,767.59,768.15,765.73,767.07,1513890960.0,486.2,374274.89
13,765.9,767.53,765.7,767.2,1513891020.0,203.85,158021.29
14,768.05,769.52,765.72,765.72,1513891080.0,495.17,384326.65
15,766.99,768.94,766.45,768.64,1513891140.0,341.03,265001.54
16,766.51,767.82,765.93,766.99,1513891200.0,322.73,248518.85
17,765.02,766.51,765.02,766.51,1513891260.0,128.06,98134.69
18,763.92,765.43,763.92,765.43,1513891320.0,301.07,229710.35
19,763.96,764.31,763.53,763.9,1513891380.0,544.69,416453.99
20,765.21,765.21,763.92,763.96,1513891440.0,369.71,282434.04
21,765.31,765.7,764.88,765.22,1513891500.0,217.29,165945.02
22,764.3,765.07,764.2,764.97,1513891560.0,411.04,315106.93
23,764.89,764.89,763.77,764.29,1513891620.0,530.87,407542.29
24,766.84,766.89,764.18,764.91,1513891680.0,483.85,369877.01
25,767.36,767.98,766.49,767.25,1513891740.0,745.27,572915.21
26,767.58,767.58,766.69,767.36,1513891800.0,476.33,364975.24
27,766.68,768.06,766.24,767.65,1513891860.0,718.69,553590.85
28,768.37,768.39,766.6,766.68,1513891920.0,543.61,416457.26
29,767.95,768.3,767.27,768.09,1513891980.0,283.04,217554.11
30,768.26,768.27,767.62,767.95,1513892040.0,708.46,543093.82
31,767.71,768.27,767.16,768.27,1513892100.0,524.63,403645.73
32,769.46,769.63,767.4,767.71,1513892160.0,577.73,443429.49
33,770.96,770.96,769.03,769.46,1513892220.0,683.01,528507.6
34,773.81,774.05,770.69,770.96,1513892280.0,1060.79,823615.59
35,775.51,775.51,773.53,773.81,1513892340.0,839.24,652185.45
36,775.33,775.98,774.39,775.53,1513892400.0,882.36,685783.48
37,775.35,775.73,775.15,775.36,1513892460.0,348.9,270554.21
38,775.48,775.89,774.71,775.36,1513892520.0,410.44,317739.66
39,775.91,776.18,774.61,775.49,1513892580.0,645.53,499376.11
40,776.11,776.19,775.53,775.91,1513892640.0,445.66,349596.12
41,779.48,780.01,776.12,776.7,1513892700.0,962.74,750956.91
42,779.85,779.85,778.5,778.98,1513892760.0,448.18,349462.63
43,781.18,781.2,779.68,779.85,1513892820.0,850.31,659468.58
44,781.42,782.38,780.97,781.18,1513892880.0,570.25,447496.03
45,781.01,781.96,780.18,781.44,1513892940.0,439.81,346593.96
46,782.51,782.69,780.97,781.02,1513893000.0,319.38,249231.89
47,783.26,783.35,782.5,782.51,1513893060.0,601.05,470032.96
