,close,high,low,open,time,volumefrom,volumeto
0,394.68,394.69,394.29,394.61,1513890240.0,53.18,21069.98
1,395.36,395.36,394.68,394.68,1513890300.0,199.25,78960.34
2,395.75,395.77,394.93,395.36,1513890360.0,45.89,18177.49
3,395.78,395.96,395.7,395.75,1513890420.0,10.97,4350.97
4,397.46,397.97,395.77,395.77,1513890480.0,52.52,20895.98
5,398.43,400.2,397.29,397.46,1513890540.0,310.92,124534.87
6,397.74,398.43,397.7,398.4,1513890600.0,51.65,20669.15
7,395.96,397.74,395.95,397.74,1513890660.0,135.64,54106.81
8,396.29,396.92,395.96,395.96,1513890720.0,37.55,14752.06
9,396.81,396.86,395.91,396.29,1513890780.0,124.77,49512.78
10,396.9,398.08,396.8,396.81,1513890840.0,8.42,3338.84
11,396.94,397.61,396.9,396.9,1513890900.0,12.4,4941.58
12,397.25,397.25,396.83,396.83,1513890960.0,72.13,28710.92
13,396.18,396.9,396.15,396.9,1513891020.0,7.61,3000.58
14,396.98,397.05,396.15,396.18,1513891080.0,31.17,12403.86
15,398.64,398.64,396.98,396.98,1513891140.0,34.56,13786.54
16,398.64,398.64,397.7,398.64,1513891200.0,18.49,7377.54
17,398.61,398.61,397.65,398.33,1513891260.0,42.31,16914.11
18,398.61,398.73,398.42,398.61,1513891320.0,68.5,27337.03
19,398.7,398.7,398.6,398.6,1513891380.0,23.99,9459.38
20,399.35,399.35,398.7,398.7,1513891440.0,54.22,21700.84
21,400.05,400.05,399.43,399.43,1513891500.0,10.82,4318.96
22,400.97,400.97,399.7,400.05,1513891560.0,105.12,42202.5
23,400.17,401.56,400.16,400.88,1513891620.0,155.65,62624.23
24,401.33,401.33,400.09,400.21,1513891680.0,9.2,3655.83
25,401.47,401.47,400.46,401.33,1513891740.0,84.83,33784.15
26,401.2,401.93,401.2,401.53,1513891800.0,49.72,19960.71
27,401.96,403.84,401.16,401.16,1513891860.0,228.93,92561.38
28,402.1,403.17,401.47,401.95,1513891920.0,295.31,119130.34
29,402.07,403.9,401.92,402.1,1513891980.0,138.44,55974.42
30,403.31,403.62,402.07,402.07,1513892040.0,31.9,12843.16
31,403.01,403.52,402.98,403.3,1513892100.0,71.63,29008.3
32,402.46,403.11,402.36,403.01,1513892160.0,143.49,58034.45
33,402.65,402.93,402.46,402.46,1513892220.0,15.13,6109.83
34,403.27,403.27,402.52,402.65,1513892280.0,85.1,34398.67
35,404.6,404.62,403.27,403.27,1513892340.0,79.52,32188.45
36,406.85,406.85,404.27,404.6,1513892400.0,293.39,119395.19
37,405.99,407.48,405.99,406.89,1513892460.0,163.39,66665.89
38,406.21,406.46,404.52,405.99,1513892520.0,110.41,44349.35
39,406.6,408.06,405.97,406.26,1513892580.0,247.45,99209.83
40,409.01,409.54,406.6,406.85,1513892640.0,151.94,62375.64
41,408.41,410.53,408.06,408.06,1513892700.0,627.35,257417.66
42,409.04,410.47,408.41,408.41,1513892760.0,242.24,99387.05
43,410.92,410.94,409.04,409.04,1513892820.0,241.44,98505.25
44,410.98,413.3,410.73,410.92,1513892880.0,198.58,81640.2
45,411.4,413.83,410.37,410.98,1513892940.0,224.06,92523.28
46,412.4,412.4,411.41,411.41,1513893000.0,111.29,46007.67
47,414.09,414.96,412.11,412.4,1513893060.0,110.64,45906.65
48,413.99,414.92,413.15,414.09,1513893120.0,212.86,88346.97
49,412.9,414.08,412.9,413.99,1513893180.0,158.02,65185.78
50,412.33,413.23,411.45,412.9,1513893240.0,153.55,63382.21
51,409.91,412.33,409.91,412.33,1513893300.0,209.11,85842.91
52,409.04,410.05,409.01,409.91,1513893360.0,259.69,106357.95
53,410.58,410.9,409.04,409.04,1513893420.0,66.83,27187.53
54,410.28,410.7,408.13,410.63,1513893480.0,256.64,105378.58
55,411.4,411.75,409.81,410.28,1513893540.0,177.02,72869.13
56,410.7,412.21,410.66,411.4,1513893600.0,197.33,81260.17
57,410.66,412.18,410.56,410.7,1513893660.0,139.45,57346.29
58,411.11,412.18,410.53,410.66,1513893720.0,91.14,37506.07
59,412.1,412.21,411.11,411.11,1513893780.0,29.03,11928.59
60,412.25,412.25,410.92,411.55,1513893840.0,39.73,16293.57
61,411.43,412.04,411.22,412.04,1513893900.0,5.31,2172.28
62,412.16,412.42,411.43,411.43,1513893960.0,21.4,8817.55
63,412.61,412.72,412.16,412.16,1513894020.0,16.4,6771.4
64,413.5,413.56,412.61,412.61,1513894080.0,35.19,14477.62
65,412.37,413.56,412.34,413.5,1513894140.0,82.17,33972.25
66,412.63,413.66,412.37,412.37,1513894200.0,46.29,19175.63
67,411.9,413.63,411.84,413.63,1513894260.0,9.3,3848.47
68,413.68,413.68,411.78,411.9,1513894320.0,38.3,15764.27
69,414.29,414.5,413.54,413.54,1513894380.0,74.08,30649.05
70,415.88,415.88,414.29,414.29,1513894440.0,70.83,29014.28
71,416.23,416.23,415.67,415.68,1513894500.0,38.48,16015.59
72,414.89,416.49,413.84,416.23,1513894560.0,371.93,155257.39
73,415.29,415.45,414.96,415.38,1513894620.0,171.94,71723.97
74,415.23,415.36,415.23,415.32,1513894680.0,28.34,11665.44
75,416.22,416.27,415.23,415.23,1513894740.0,18.06,7516.37
76,416.3,416.31,415.97,416.22,1513894800.0,36.59,15031.89
77,416.1,416.3,416.1,416.3,1513894860.0,70.32,29095.07
78,416.41,416.43,416.1,416.1,1513894920.0,91.68,37875.95
79,416.71,416.71,416.36,416.41,1513894980.0,78.44,32482.38
